1. Process Name: System Idle Process, PID: 0, Username: NT AUTHORITY\SYSTEM
2. Process Name: System, PID: 4, Username: NT AUTHORITY\SYSTEM
3. Process Name: , PID: 188, Username: None
4. Process Name: Registry, PID: 232, Username: None
5. Process Name: taskhostw.exe, PID: 424, Username: SHANTANU\lenovo
6. Process Name: svchost.exe, PID: 820, Username: None
7. Process Name: svchost.exe, PID: 832, Username: None
8. Process Name: smss.exe, PID: 848, Username: None
9. Process Name: RuntimeBroker.exe, PID: 928, Username: SHANTANU\lenovo
10. Process Name: chrome.exe, PID: 932, Username: SHANTANU\lenovo
11. Process Name: IntelCpHDCPSvc.exe, PID: 936, Username: None
12. Process Name: svchost.exe, PID: 972, Username: None
13. Process Name: fontdrvhost.exe, PID: 1196, Username: None
14. Process Name: csrss.exe, PID: 1228, Username: None
15. Process Name: LenovoVantage-(LenovoAuthenticationAddin).exe, PID: 1240, Username: None
16. Process Name: chrome.exe, PID: 1400, Username: SHANTANU\lenovo
17. Process Name: RuntimeBroker.exe, PID: 1512, Username: SHANTANU\lenovo
18. Process Name: conhost.exe, PID: 1760, Username: SHANTANU\lenovo
19. Process Name: sihost.exe, PID: 1780, Username: SHANTANU\lenovo
20. Process Name: brave.exe, PID: 1816, Username: SHANTANU\lenovo
21. Process Name: csrss.exe, PID: 1888, Username: None
22. Process Name: wininit.exe, PID: 1976, Username: None
23. Process Name: PhoneExperienceHost.exe, PID: 2052, Username: SHANTANU\lenovo
24. Process Name: services.exe, PID: 2080, Username: None
25. Process Name: LsaIso.exe, PID: 2124, Username: None
26. Process Name: lsass.exe, PID: 2132, Username: None
27. Process Name: WUDFHost.exe, PID: 2160, Username: None
28. Process Name: svchost.exe, PID: 2260, Username: None
29. Process Name: fontdrvhost.exe, PID: 2272, Username: None
30. Process Name: chrome.exe, PID: 2368, Username: SHANTANU\lenovo
31. Process Name: svchost.exe, PID: 2404, Username: None
32. Process Name: WmiPrvSE.exe, PID: 2412, Username: None
33. Process Name: svchost.exe, PID: 2448, Username: None
34. Process Name: WUDFHost.exe, PID: 2500, Username: None
35. Process Name: svchost.exe, PID: 2596, Username: None
36. Process Name: svchost.exe, PID: 2624, Username: None
37. Process Name: svchost.exe, PID: 2644, Username: None
38. Process Name: svchost.exe, PID: 2660, Username: None
39. Process Name: FnHotkeyCapsLKNumLK.exe, PID: 2732, Username: SHANTANU\lenovo
40. Process Name: svchost.exe, PID: 2808, Username: None
41. Process Name: svchost.exe, PID: 2844, Username: None
42. Process Name: svchost.exe, PID: 2896, Username: None
43. Process Name: svchost.exe, PID: 2908, Username: None
44. Process Name: svchost.exe, PID: 2916, Username: None
45. Process Name: svchost.exe, PID: 2956, Username: None
46. Process Name: svchost.exe, PID: 3008, Username: None
47. Process Name: svchost.exe, PID: 3020, Username: None
48. Process Name: LenovoVantage-(GenericMessagingAddin).exe, PID: 3068, Username: SHANTANU\lenovo
49. Process Name: chrome.exe, PID: 3112, Username: SHANTANU\lenovo
50. Process Name: svchost.exe, PID: 3116, Username: None
51. Process Name: svchost.exe, PID: 3132, Username: None
52. Process Name: LenovoVantage-(DeviceSettingsSystemAddin).exe, PID: 3152, Username: None
53. Process Name: brave.exe, PID: 3200, Username: SHANTANU\lenovo
54. Process Name: svchost.exe, PID: 3400, Username: None
55. Process Name: svchost.exe, PID: 3468, Username: SHANTANU\lenovo
56. Process Name: WUDFHost.exe, PID: 3476, Username: None
57. Process Name: svchost.exe, PID: 3500, Username: None
58. Process Name: svchost.exe, PID: 3700, Username: None
59. Process Name: WmiApSrv.exe, PID: 3724, Username: None
60. Process Name: MemCompression, PID: 3744, Username: None
61. Process Name: msedgewebview2.exe, PID: 3796, Username: SHANTANU\lenovo
62. Process Name: svchost.exe, PID: 3824, Username: None
63. Process Name: svchost.exe, PID: 3856, Username: None
64. Process Name: svchost.exe, PID: 3908, Username: None
65. Process Name: WUDFHost.exe, PID: 3944, Username: None
66. Process Name: svchost.exe, PID: 3952, Username: None
67. Process Name: svchost.exe, PID: 3956, Username: None
68. Process Name: svchost.exe, PID: 3972, Username: None
69. Process Name: LenovoVantage-(ConsumerAddin).exe, PID: 3984, Username: SHANTANU\lenovo
70. Process Name: svchost.exe, PID: 4052, Username: None
71. Process Name: AppProvisioningPlugin.exe, PID: 4100, Username: None
72. Process Name: DAX3API.exe, PID: 4144, Username: None
73. Process Name: svchost.exe, PID: 4176, Username: None
74. Process Name: svchost.exe, PID: 4236, Username: None
75. Process Name: AppActions.exe, PID: 4256, Username: SHANTANU\lenovo
76. Process Name: svchost.exe, PID: 4268, Username: None
77. Process Name: svchost.exe, PID: 4368, Username: None
78. Process Name: wlanext.exe, PID: 4396, Username: None
79. Process Name: svchost.exe, PID: 4404, Username: None
80. Process Name: svchost.exe, PID: 4480, Username: None
81. Process Name: svchost.exe, PID: 4520, Username: None
82. Process Name: conhost.exe, PID: 4612, Username: SHANTANU\lenovo
83. Process Name: msedgewebview2.exe, PID: 4688, Username: SHANTANU\lenovo
84. Process Name: svchost.exe, PID: 4776, Username: None
85. Process Name: svchost.exe, PID: 4804, Username: None
86. Process Name: svchost.exe, PID: 4824, Username: None
87. Process Name: svchost.exe, PID: 4940, Username: None
88. Process Name: svchost.exe, PID: 4976, Username: None
89. Process Name: spoolsv.exe, PID: 5100, Username: None
90. Process Name: msedgewebview2.exe, PID: 5116, Username: SHANTANU\lenovo
91. Process Name: Code.exe, PID: 5148, Username: SHANTANU\lenovo
92. Process Name: armsvc.exe, PID: 5220, Username: None
93. Process Name: FMService64.exe, PID: 5228, Username: None
94. Process Name: svchost.exe, PID: 5236, Username: None
95. Process Name: LsaRpcServer.exe, PID: 5244, Username: None
96. Process Name: DAX3API.exe, PID: 5252, Username: None
97. Process Name: ipf_uf.exe, PID: 5264, Username: None
98. Process Name: LenovoUtilityService.exe, PID: 5272, Username: None
99. Process Name: ipfsvc.exe, PID: 5280, Username: None
100. Process Name: jhi_service.exe, PID: 5296, Username: None
101. Process Name: svchost.exe, PID: 5392, Username: None
102. Process Name: svchost.exe, PID: 5404, Username: None
103. Process Name: LenovoVantageService.exe, PID: 5412, Username: None
104. Process Name: svchost.exe, PID: 5420, Username: None
105. Process Name: Lenovo.Modern.ImController.exe, PID: 5500, Username: None
106. Process Name: LenovoVantage-(IdeaNotebookAddin).exe, PID: 5508, Username: SHANTANU\lenovo
107. Process Name: IntelAudioService.exe, PID: 5524, Username: None
108. Process Name: MpDefenderCoreService.exe, PID: 5532, Username: None
109. Process Name: LNBITSSvc.exe, PID: 5600, Username: None
110. Process Name: SenaryAudioApp.Svc.exe, PID: 5616, Username: None
111. Process Name: svchost.exe, PID: 5624, Username: None
112. Process Name: SmartSense.exe, PID: 5628, Username: None
113. Process Name: SmartAppearanceSVC.exe, PID: 5656, Username: None
114. Process Name: svchost.exe, PID: 5728, Username: None
115. Process Name: svchost.exe, PID: 5772, Username: None
116. Process Name: MsMpEng.exe, PID: 5788, Username: None
117. Process Name: svchost.exe, PID: 5796, Username: None
118. Process Name: svchost.exe, PID: 5828, Username: None
119. Process Name: UDClientService.exe, PID: 5856, Username: None
120. Process Name: WMIRegistrationService.exe, PID: 5924, Username: None
121. Process Name: svchost.exe, PID: 5936, Username: None
122. Process Name: wslservice.exe, PID: 5964, Username: None
123. Process Name: conhost.exe, PID: 5980, Username: None
124. Process Name: backgroundTaskHost.exe, PID: 6020, Username: SHANTANU\lenovo
125. Process Name: chrome.exe, PID: 6028, Username: SHANTANU\lenovo
126. Process Name: svchost.exe, PID: 6060, Username: None
127. Process Name: UserOOBEBroker.exe, PID: 6248, Username: SHANTANU\lenovo
128. Process Name: CodeSetup-stable-e4c7e7b1d6d060162f4aa7f8225271b67ce1df75.tmp, PID: 6280, Username: SHANTANU\lenovo
129. Process Name: svchost.exe, PID: 6340, Username: None
130. Process Name: MessagingPlugin.exe, PID: 6828, Username: SHANTANU\lenovo
131. Process Name: NgcIso.exe, PID: 6832, Username: None
132. Process Name: Code.exe, PID: 6872, Username: SHANTANU\lenovo
133. Process Name: svchost.exe, PID: 6952, Username: SHANTANU\lenovo
134. Process Name: svchost.exe, PID: 7012, Username: None
135. Process Name: LsaServerPartner.exe, PID: 7052, Username: SHANTANU\lenovo
136. Process Name: ctfmon.exe, PID: 7068, Username: SHANTANU\lenovo
137. Process Name: AdobeCollabSync.exe, PID: 7100, Username: SHANTANU\lenovo
138. Process Name: TextInputHost.exe, PID: 7232, Username: SHANTANU\lenovo
139. Process Name: svchost.exe, PID: 7296, Username: None
140. Process Name: svchost.exe, PID: 7372, Username: None
141. Process Name: WmiPrvSE.exe, PID: 7632, Username: None
142. Process Name: svchost.exe, PID: 7648, Username: None
143. Process Name: unsecapp.exe, PID: 8148, Username: None
144. Process Name: WUDFHost.exe, PID: 8312, Username: None
145. Process Name: Code.exe, PID: 8364, Username: SHANTANU\lenovo
146. Process Name: svchost.exe, PID: 8640, Username: None
147. Process Name: svchost.exe, PID: 8644, Username: None
148. Process Name: WUDFHost.exe, PID: 8724, Username: None
149. Process Name: svchost.exe, PID: 8728, Username: None
150. Process Name: svchost.exe, PID: 8808, Username: None
151. Process Name: svchost.exe, PID: 8848, Username: None
152. Process Name: svchost.exe, PID: 8856, Username: None
153. Process Name: msedgewebview2.exe, PID: 8864, Username: SHANTANU\lenovo
154. Process Name: QuickShareService.exe, PID: 8928, Username: None
155. Process Name: IntelGraphicsSoftware.Service.exe, PID: 9064, Username: None
156. Process Name: svchost.exe, PID: 9072, Username: None
157. Process Name: svchost.exe, PID: 9172, Username: SHANTANU\lenovo
158. Process Name: OneDrive.Sync.Service.exe, PID: 9284, Username: SHANTANU\lenovo
159. Process Name: WUDFHost.exe, PID: 9424, Username: None
160. Process Name: LenovoVantage-(LenovoMachineFixSystemAddin).exe, PID: 9504, Username: None
161. Process Name: Intel_PIE_Service.exe, PID: 9528, Username: None
162. Process Name: CrossDeviceService.exe, PID: 9668, Username: SHANTANU\lenovo
163. Process Name: msedgewebview2.exe, PID: 9792, Username: SHANTANU\lenovo
164. Process Name: chrome.exe, PID: 9824, Username: SHANTANU\lenovo
165. Process Name: svchost.exe, PID: 9836, Username: None
166. Process Name: PresentMonService.exe, PID: 10144, Username: None
167. Process Name: conhost.exe, PID: 10180, Username: None
168. Process Name: svchost.exe, PID: 10564, Username: None
169. Process Name: audiodg.exe, PID: 10740, Username: None
170. Process Name: chrome.exe, PID: 10800, Username: SHANTANU\lenovo
171. Process Name: svchost.exe, PID: 10812, Username: None
172. Process Name: Code.exe, PID: 10972, Username: SHANTANU\lenovo
173. Process Name: svchost.exe, PID: 11104, Username: None
174. Process Name: dllhost.exe, PID: 11180, Username: SHANTANU\lenovo
175. Process Name: svchost.exe, PID: 11212, Username: None
176. Process Name: AggregatorHost.exe, PID: 11260, Username: None
177. Process Name: RuntimeBroker.exe, PID: 11388, Username: SHANTANU\lenovo
178. Process Name: chrome.exe, PID: 11456, Username: SHANTANU\lenovo
179. Process Name: chrome.exe, PID: 11820, Username: SHANTANU\lenovo
180. Process Name: AppVShNotify.exe, PID: 11852, Username: SHANTANU\lenovo
181. Process Name: msedgewebview2.exe, PID: 11868, Username: SHANTANU\lenovo
182. Process Name: svchost.exe, PID: 11956, Username: None
183. Process Name: explorer.exe, PID: 12416, Username: SHANTANU\lenovo
184. Process Name: svchost.exe, PID: 12648, Username: SHANTANU\lenovo
185. Process Name: python.exe, PID: 12680, Username: SHANTANU\lenovo
186. Process Name: brave.exe, PID: 12696, Username: SHANTANU\lenovo
187. Process Name: svchost.exe, PID: 12944, Username: None
188. Process Name: unsecapp.exe, PID: 12960, Username: SHANTANU\lenovo
189. Process Name: brave.exe, PID: 12968, Username: SHANTANU\lenovo
190. Process Name: RuntimeBroker.exe, PID: 13052, Username: SHANTANU\lenovo
191. Process Name: svchost.exe, PID: 13068, Username: None
192. Process Name: Code.exe, PID: 13188, Username: SHANTANU\lenovo
193. Process Name: svchost.exe, PID: 13256, Username: None
194. Process Name: Code.exe, PID: 13436, Username: SHANTANU\lenovo
195. Process Name: FnHotkeyUtility.exe, PID: 13516, Username: SHANTANU\lenovo
196. Process Name: powershell.exe, PID: 13544, Username: SHANTANU\lenovo
197. Process Name: svchost.exe, PID: 13608, Username: None
198. Process Name: svchost.exe, PID: 13656, Username: None
199. Process Name: LsaToast.exe, PID: 13696, Username: SHANTANU\lenovo
200. Process Name: BatteryWidgetHost.exe, PID: 13760, Username: SHANTANU\lenovo
201. Process Name: Code.exe, PID: 14132, Username: SHANTANU\lenovo
202. Process Name: CrossDeviceResume.exe, PID: 14180, Username: SHANTANU\lenovo
203. Process Name: brave.exe, PID: 14228, Username: SHANTANU\lenovo
204. Process Name: SearchHost.exe, PID: 14260, Username: SHANTANU\lenovo
205. Process Name: msedgewebview2.exe, PID: 14368, Username: SHANTANU\lenovo
206. Process Name: UserSSCtrl.exe, PID: 14388, Username: SHANTANU\lenovo
207. Process Name: Code.exe, PID: 14460, Username: SHANTANU\lenovo
208. Process Name: brave.exe, PID: 14500, Username: SHANTANU\lenovo
209. Process Name: Code.exe, PID: 14764, Username: SHANTANU\lenovo
210. Process Name: Code.exe, PID: 15240, Username: SHANTANU\lenovo
211. Process Name: NisSrv.exe, PID: 15344, Username: None
212. Process Name: SecurityHealthSystray.exe, PID: 15644, Username: SHANTANU\lenovo
